Apple No.,Volume
1,80
2,300
3,130
4,200
5,250
6,240
7,230
8,130
9,170
10,160
11,230
12,100
13,140
14,80
15,210
16,180
17,140
18,120
19,170
20,120
21,160
22,120
23,160
24,150
25,110
26,110
27,220
28,130
29,150
30,180
31,200
32,240
33,225
34,180
35,200
36,150
37,150
38,180
39,155
40,240
41,150
42,350
43,150
44,210
45,200
46,225
47,235
48,170
49,200
50,175
51,150
52,150
53,160
54,200
55,180
56,140
57,150
58,150
59,120
60,140
61,140
62,160
63,130
64,80
65,80
66,60
67,80
68,80
69,210
70,165
71,120
72,110
73,130
74,100
75,140
76,200
77,190
78,180
79,200
80,200
81,150
82,145
83,130
84,170
85,125
86,90
87,160
88,155
89,180
90,140
91,175
92,125
93,190
94,160
95,125
96,130
97,100
98,175
99,150
100,100
101,110
102,140
103,150
104,200
105,160
106,140
107,160
108,160
109,140
110,90
111,110
112,120
113,150
114,190
115,105
116,150
117,160
118,175
119,180
120,100
121,150
122,180
123,210
124,170
125,155
126,160
127,180
128,110
129,150
130,160
131,90
132,150
133,140
134,140
135,150
136,125
137,100
138,100
139,100
140,140
141,200
142,150
143,100
144,150
145,100
146,190
147,190
148,160
149,100
150,100
151,160
152,195
153,175
154,110
155,150
156,155
157,175
158,150
159,120
160,120
161,105
162,160
163,100
164,125
165,170
166,215
167,150
168,200
169,175
170,125
171,190
172,75
173,90
174,95
175,170
176,170
177,130
178,145
179,110
180,120
181,140
182,120
183,170
184,145
185,140
186,145
187,180
188,140
189,125
190,160
191,200
192,150
193,140
194,150
195,140
196,150
197,140
198,150
199,130
200,130
