apple_integer,view,predicted_volume
1,b,124.47
1,s,126.36500000000001
1,t,126.47
3,b,164.24
3,s,184.8057142857143
3,t,177.48
4,b,284.31
4,s,284.96999999999997
4,t,278.31
5,b,265.0
5,s,293.6257142857143
5,t,291.64
6,b,419.775
6,s,452.5575
6,t,444.09000000000003
7,b,370.23
7,s,391.6228571428572
7,t,401.9
8,b,177.67
8,s,220.375
8,t,198.35
9,b,275.05
9,s,336.73
9,t,287.99
10,b,310.6
10,s,313.8528571428572
10,t,332.95
11,b,372.61
11,s,432.2316666666666
11,t,403.67
12,b,189.22
12,s,205.23142857142855
12,t,198.49
13,b,216.04
13,s,270.10857142857145
13,t,245.77
14,b,183.88
14,s,187.82285714285715
14,t,185.82
15,b,387.47
15,s,432.9216666666667
15,t,404.09
16,b,240.23
16,s,255.814
16,t,283.24
17,b,253.51
17,s,318.46875
17,t,290.69
18,b,224.88
18,s,245.07833333333335
18,t,235.76
19,b,254.46
19,s,267.65125
19,t,271.83
20,b,203.305
20,s,226.32
20,t,192.485
21,b,312.525
21,s,318.7005882352941
21,t,333.635
22,b,182.2
22,s,188.92222222222222
22,t,184.09
23,b,260.2
23,s,269.34857142857146
23,t,306.5
24,b,212.99
24,s,240.79625
24,t,231.29
25,b,256.08
25,s,278.93857142857144
25,t,282.41
26,b,174.19
26,s,185.54
26,t,189.82
27,b,324.99
27,s,338.3742857142857
27,t,367.46
28,b,254.61
28,s,271.49142857142857
28,t,279.13
29,b,237.71
29,s,266.74
29,t,263.19
30,b,250.34499999999997
30,s,327.03428571428566
30,t,262.7
31,b,288.95000000000005
31,s,296.34000000000003
31,t,317.0366666666667
32,b,345.645
32,s,357.45428571428573
32,t,366.08
33,b,341.885
33,s,345.405
33,t,359.45
34,b,223.43
34,s,254.38666666666666
34,t,246.96
35,b,268.78
35,s,327.39833333333337
35,t,295.51
36,b,187.47
36,s,226.47
36,t,209.06
37,b,195.3
37,s,201.28833333333333
37,t,198.13
38,b,243.3
38,s,263.5628571428571
38,t,272.42
39,b,189.59
39,s,221.20166666666668
39,t,195.87
40,b,365.66
40,s,383.1566666666667
40,t,410.19
41,b,241.61
41,s,247.34
41,t,254.27
42,b,454.19
42,s,504.67285714285714
42,t,491.56
43,b,222.45
43,s,237.2342857142857
43,t,234.38
44,b,272.065
44,s,274.7557142857143
44,t,291.99
45,b,248.37
45,s,303.02833333333336
45,t,281.35
46,b,323.29
46,s,338.8157142857143
46,t,350.6
47,b,298.1
47,s,350.2716666666667
47,t,347.91
48,b,219.05
48,s,230.64142857142858
48,t,233.19
49,b,265.04499999999996
49,s,280.0566666666667
49,t,290.245
50,b,251.74
50,s,240.88285714285715
50,t,238.31
51,b,243.39
51,s,253.05428571428573
51,t,259.49
52,b,245.88
52,s,244.51875
52,t,262.79
53,b,255.45
53,s,248.18285714285713
53,t,235.23
54,b,212.3
54,s,250.8957142857143
54,t,226.09
55,b,262.02
55,s,270.05555555555554
55,t,277.52
56,b,166.98
56,s,199.18125
56,t,167.19
57,b,202.72
57,s,231.49875
57,t,212.13
58,b,209.38
58,s,229.38857142857142
58,t,223.4
59,b,147.41
59,s,142.24625
59,t,149.6
60,b,182.78
60,s,196.39555555555555
60,t,191.28
61,b,197.73000000000002
61,s,197.37285714285713
61,t,202.93666666666664
62,b,232.1
62,s,237.2211111111111
62,t,243.95
63,b,146.5
63,s,181.4788888888889
63,t,131.325
64,b,117.47
64,s,117.63857142857144
64,t,116.98
65,b,101.86
65,s,114.98833333333333
65,t,102.545
66,b,90.515
66,s,92.40666666666668
66,t,95.00999999999999
67,b,106.15
67,s,117.01125
67,t,108.4
68,b,86.43
68,s,98.3125
68,t,89.89
69,b,311.07
69,s,312.87
69,t,316.655
70,b,211.14
70,s,236.97142857142856
70,t,231.17
71,b,167.51
71,s,175.04
71,t,168.61
72,b,210.01
72,s,228.23285714285717
72,t,220.82
73,b,179.53
73,s,179.47142857142856
73,t,182.04
74,b,134.65
74,s,140.7825
74,t,136.915
75,b,199.08
75,s,197.92000000000002
75,t,206.82
76,b,269.71
76,s,316.31625
76,t,324.26
77,b,276.06
77,s,277.65166666666664
77,t,302.03
78,b,243.47
78,s,267.69777777777773
78,t,261.645
79,b,279.655
79,s,304.73
79,t,301.86
80,b,273.7
80,s,338.94166666666666
80,t,317.61
81,b,210.905
81,s,207.90625
81,t,217.04500000000002
82,b,186.73
82,s,235.765
82,t,197.76
83,b,197.35
83,s,259.24875000000003
83,t,209.65
84,b,248.92
84,s,265.68571428571425
84,t,257.34
85,b,181.42
85,s,177.0257142857143
85,t,187.62
86,b,128.09
86,s,150.13777777777779
86,t,112.82
87,b,213.29500000000002
87,s,254.02142857142854
87,t,249.305
88,b,208.85
88,s,268.23375
88,t,240.87
89,b,250.46
89,s,292.29285714285714
89,t,273.83
90,b,195.25
90,s,196.78714285714287
90,t,206.51
91,b,278.39
91,s,295.1271428571428
91,t,286.65
92,b,190.64
92,s,217.32142857142858
92,t,206.16
93,b,297.11
93,s,299.0785714285715
93,t,314.54
94,b,252.06
94,s,272.5
94,t,281.07
95,b,154.31
95,s,225.82333333333335
95,t,167.3
96,b,199.44
96,s,215.2
96,t,195.64
97,b,139.27
97,s,156.895
97,t,149.02
98,b,272.55
98,s,285.9375
98,t,298.85
99,b,218.27
99,s,220.3325
99,t,233.58499999999998
100,b,149.24
100,s,140.96
100,t,149.48
