apple_number,predicted_volume,actual_volume
1,81.526835,80
3,113.05892,130
4,184.66968,200
5,181.4501,250
6,283.06775250000004,240
7,248.13659000000004,230
8,128.219325,130
9,196.29402000000002,170
10,203.94023000000004,160
11,260.088335,230
12,127.84615999999998,100
13,156.73268,140
14,120.69928,80
15,265.12804500000004,210
16,162.64045199999998,180
17,184.44859874999997,140
18,152.251905,120
19,169.90345125000005,170
20,137.86870500000003,120
21,205.92490558823533,160
22,120.36344666666668,120
23,174.03516000000002,160
24,146.98620625,150
25,174.06154999999998,110
26,117.13481000000002,110
27,217.10585000000003,220
28,171.38017,130
29,163.76165,150
30,184.30288500000003,180
31,191.2954766666667,200
32,228.95580499999997,240
33,224.09958999999998,225
34,154.90422999999998,180
35,192.09976500000005,200
36,133.62518,150
37,128.726975,150
38,165.19099999999997,180
39,132.190045,155
40,244.77115,240
41,159.26911,150
42,310.94856000000004,350
43,149.24896999999999,150
44,178.612915,210
45,178.077185,200
46,215.79714,225
47,210.597985,235
48,146.28224000000003,170
49,177.687835,200
50,159.96864000000002,175
51,161.67905000000002,150
52,160.32969875,150
53,163.00713,160
54,149.24871000000002,200
55,173.31270666666668,180
56,117.33886125000002,140
57,140.11391875,150
58,142.28838000000002,150
59,94.52067625,120
60,122.96604666666666,140
61,128.6977466666667,140
62,152.87926333333334,160
63,103.98513666666666,130
64,76.37604000000002,80
65,69.828655,80
66,59.584915,60
67,72.07962125,80
68,59.6033425,80
69,202.97732,210
70,145.33454,165
71,110.99439000000001,120
72,142.04346,110
73,116.80903,130
74,89.3144525,100
75,129.4878,140
76,190.87160624999996,200
77,181.223965,190
78,165.81478333333334,180
79,189.775885,200
80,197.999295,200
81,136.58887124999998,150
82,135.33461499999999,145
83,145.81545875,130
84,166.81288,170
85,117.04575999999999,125
86,88.48350333333336,90
87,151.63258499999998,160
88,153.62930375,155
89,175.43461000000002,180
90,127.91766000000001,140
91,185.95226000000002,175
92,132.00707,125
93,194.56528000000003,190
94,170.92764,160
95,120.50011999999998,125
96,133.74088,130
97,95.844125,100
98,182.1798875,175
99,143.2349425,150
100,94.75804,100
