apple_label,predicted_volume
1,126.37
3,181.71
4,283.86
5,290.22
6,442.25
7,390.39
8,213.9
9,322.93
10,315.61
11,421.21
12,202.7
13,261.4
14,187.16
15,423.64
16,256.8
17,309.19
18,239.18
19,266.75
20,215.98
21,319.53
22,187.87
23,272.46
24,237.06
25,276.78
26,184.45
27,340.12
28,270.46
29,263.48
30,301.39
31,300.28
32,356.88
33,346.18
34,249.59
35,316.09
36,219.42
37,200.14
38,262.3
39,214.08
40,384.35
41,247.49
42,497.61
43,233.99
44,277.4
45,293.49
46,338.4
47,343.45
48,228.58
49,279.09
50,241.8
51,252.7
52,246.48
53,247.55
54,243.85
55,270.0
56,192.76
57,226.68
58,226.5
59,143.5
60,194.69
61,198.82
62,237.37
63,170.21
64,117.55
65,109.87
66,92.55
67,115.06
68,95.7
69,313.2
70,233.46
71,172.25
72,223.85
73,179.76
74,139.52
75,198.93
76,312.45
77,280.5
78,264.05
79,299.14
80,328.12
81,209.93
82,224.4
83,240.67
84,262.9
85,178.69
86,144.74
87,245.76
88,253.78
89,285.59
90,197.7
91,292.33
92,213.12
93,300.58
94,271.31
95,209.57
96,211.67
97,153.71
98,285.89
99,222.55
100,142.64
101,171.9
102,212.43
103,243.87
104,360.08
105,277.41
106,203.49
107,285.19
108,278.04
109,228.79
110,133.99
111,211.76
112,215.16
113,261.66
114,315.36
115,174.05
116,254.22
117,268.58
118,283.79
119,326.83
120,164.17
121,254.98
122,330.96
123,398.59
124,322.69
125,295.54
126,264.64
127,285.18
128,201.45
129,243.19
130,282.79
131,131.66
132,237.69
133,221.64
134,221.99
135,253.26
136,185.36
137,161.92
138,147.17
139,175.79
140,200.09
141,328.9
142,256.17
143,159.48
144,255.16
145,196.3
146,311.39
147,354.92
148,255.7
149,168.47
150,164.38
151,250.91
152,308.61
153,274.29
154,166.3
155,232.1
156,257.91
157,302.18
158,272.94
159,263.43
160,211.35
161,178.54
162,275.89
163,273.59
164,286.36
165,276.68
166,368.29
167,249.98
168,350.79
169,296.62
170,275.94
171,319.29
172,128.53
173,187.97
174,175.87
175,304.27
176,303.09
177,222.75
178,220.15
179,206.94
180,172.43
181,229.76
182,201.99
183,219.51
184,284.54
185,211.51
186,248.95
187,303.9
188,221.05
189,218.2
190,257.01
191,332.2
192,239.84
193,185.48
194,222.53
195,211.65
196,240.18
197,232.85
198,239.57
199,198.93
200,249.87
