apple_label,predicted_volume,view
1a.jpg,114.26,s
1b.jpg,138.47,s
1c.jpg,124.47,b
1d.jpg,126.47,t
3a.jpg,167.87,s
3b.jpg,177.48,t
3c.jpg,164.24,b
3d.jpg,198.25,s
3e.jpg,174.12,s
3f.jpg,165.97,s
3g.jpg,179.5,s
3h.jpg,206.36,s
3i.jpg,201.57,s
4a.jpg,280.51,s
4b.jpg,297.83,s
4c.jpg,292.14,s
4d.jpg,285.65,s
4e.jpg,268.72,s
4f.jpg,278.31,t
4g.jpg,284.31,b
5a.jpg,289.49,s
5b.jpg,297.64,s
5c.jpg,303.91,s
5d.jpg,299.72,s
5e.jpg,303.22,s
5f.jpg,276.36,s
5g.jpg,285.04,s
5h.jpg,265.0,b
5i.jpg,291.64,t
6a.jpg,418.39,t
6b.jpg,418.81,b
6c.jpg,467.11,s
6d.jpg,461.64,s
6e.jpg,445.67,s
6f.jpg,435.81,s
6g.jpg,420.74,b
6h.jpg,469.79,t
7a.jpg,386.1,s
7b.jpg,380.09,s
7c.jpg,404.07,s
7d.jpg,395.32,s
7e.jpg,406.62,s
7f.jpg,365.65,s
7g.jpg,403.51,s
7h.jpg,401.9,t
7i.jpg,370.23,b
8a.jpg,177.67,b
8b.jpg,224.14,s
8c.jpg,224.92,s
8d.jpg,210.01,s
8e.jpg,209.92,s
8f.jpg,221.01,s
8g.jpg,221.81,s
8h.jpg,227.72,s
8i.jpg,198.35,t
8j.jpg,223.47,s
9a.jpg,353.17,s
9b.jpg,325.27,s
9c.jpg,329.76,s
9d.jpg,339.05,s
9e.jpg,337.36,s
9g.jpg,335.77,s
9h.jpg,275.05,b
9i.jpg,287.99,t
10a.jpg,325.56,s
10b.jpg,293.11,s
10c.jpg,309.71,s
10d.jpg,329.83,s
10e.jpg,321.79,s
10f.jpg,295.61,s
10g.jpg,310.6,b
10h.jpg,332.95,t
10i.jpg,321.36,s
11a.jpg,428.52,s
11b.jpg,461.08,s
11c.jpg,459.34,s
11d.jpg,429.69,s
11e.jpg,404.43,s
11f.jpg,410.33,s
11g.jpg,372.61,b
11h.jpg,403.67,t
12a.jpg,193.72,s
12b.jpg,192.92,s
12c.jpg,208.9,s
12d.jpg,215.89,s
12e.jpg,209.02,s
12f.jpg,206.32,s
12g.jpg,209.85,s
12h.jpg,189.22,b
12i.jpg,198.49,t
13a.jpg,267.27,s
13b.jpg,285.64,s
13c.jpg,277.32,s
13d.jpg,261.78,s
13e.jpg,260.11,s
13f.jpg,272.87,s
13g.jpg,265.77,s
13h.jpg,245.77,t
13i.jpg,216.04,b
14a.jpg,187.02,s
14b.jpg,182.11,s
14c.jpg,184.04,s
14d.jpg,190.28,s
14e.jpg,184.21,s
14f.jpg,194.76,s
14g.jpg,192.34,s
14h.jpg,183.88,b
14i.jpg,185.82,t
15a.jpg,435.35,s
15b.jpg,424.79,s
15c.jpg,420.64,s
15d.jpg,439.71,s
15e.jpg,436.04,s
15f.jpg,441.0,s
15g.jpg,387.47,b
15h.jpg,404.09,t
16a.jpg,250.96,s
16b.jpg,255.11,s
16c.jpg,248.29,s
16d.jpg,248.55,s
16e.jpg,276.72,s
16f.jpg,262.21,s
16g.jpg,247.45,s
16h.jpg,253.56,s
16i.jpg,256.18,s
16j.jpg,259.11,s
16k.jpg,283.24,t
16l.jpg,240.23,b
17a.jpg,323.54,s
17b.jpg,328.25,s
17c.jpg,332.51,s
17d.jpg,324.49,s
17e.jpg,309.09,s
17f.jpg,299.63,s
17g.jpg,315.02,s
17h.jpg,315.22,s
17i.jpg,290.69,t
17j.jpg,253.51,b
18a.jpg,230.49,t
18b.jpg,231.39,b
18c.jpg,236.96,s
18d.jpg,259.71,s
18e.jpg,248.49,s
18f.jpg,241.57,s
18g.jpg,232.49,s
18h.jpg,251.25,s
18i.jpg,241.03,t
18j.jpg,218.37,b
19a.jpg,265.93,s
19b.jpg,261.15,s
19c.jpg,271.25,s
19d.jpg,275.29,s
19e.jpg,269.88,s
19f.jpg,269.9,s
19g.jpg,269.49,s
19h.jpg,258.32,s
19i.jpg,254.46,b
19j.jpg,271.83,t
20a.jpg,228.98,s
20b.jpg,229.86,s
20c.jpg,224.74,s
20d.jpg,229.93,s
20e.jpg,235.3,s
20f.jpg,224.53,s
20g.jpg,210.9,s
20h.jpg,204.72,b
20i.jpg,191.48,t
20j.jpg,193.49,t
20k.jpg,201.89,b
21a.jpg,307.65,s
21b.jpg,333.68,s
21c.jpg,311.82,s
21d.jpg,325.97,s
21e.jpg,305.88,s
21f.jpg,304.53,s
21g.jpg,322.58,s
21h.jpg,305.62,s
21i.jpg,314.78,b
21j.jpg,328.26,t
21k.jpg,310.27,b
21l.jpg,336.71,s
21m.jpg,306.87,s
21n.jpg,285.98,s
21o.jpg,337.84,s
21p.jpg,333.49,s
21q.jpg,305.71,s
21r.jpg,339.96,s
21s.jpg,342.09,s
21t.jpg,311.53,s
21u.jpg,339.01,t
22a.jpg,177.69,s
22b.jpg,194.35,s
22c.jpg,176.18,s
22d.jpg,197.36,s
22e.jpg,202.76,s
22f.jpg,191.5,s
22g.jpg,184.21,s
22h.jpg,188.65,s
22i.jpg,187.6,s
22j.jpg,184.09,t
22k.jpg,182.2,b
23a.jpg,257.35,s
23b.jpg,271.33,s
23c.jpg,274.09,s
23d.jpg,283.94,s
23e.jpg,253.86,s
23f.jpg,260.03,s
23g.jpg,284.84,s
23h.jpg,306.5,t
23i.jpg,260.2,b
24a.jpg,248.85,s
24b.jpg,230.15,s
24c.jpg,231.34,s
24d.jpg,247.0,s
24e.jpg,240.66,s
24f.jpg,230.97,s
24g.jpg,245.06,s
24h.jpg,252.34,s
24i.jpg,212.99,b
24j.jpg,231.29,t
25a.jpg,278.97,s
25b.jpg,254.13,s
25c.jpg,263.21,s
25d.jpg,293.75,s
25e.jpg,284.92,s
25f.jpg,284.04,s
25g.jpg,293.55,s
25h.jpg,282.41,t
25i.jpg,256.08,b
26a.jpg,184.41,s
26b.jpg,175.54,s
26c.jpg,189.43,s
26d.jpg,188.2,s
26e.jpg,188.8,s
26f.jpg,189.95,s
26g.jpg,191.63,s
26h.jpg,181.91,s
26i.jpg,179.99,s
26j.jpg,188.33,t
26k.jpg,191.31,t
26l.jpg,167.93,b
26m.jpg,180.45,b
27a.jpg,330.3,s
27b.jpg,362.49,s
27c.jpg,328.68,s
27d.jpg,349.64,s
27e.jpg,344.31,s
27f.jpg,341.29,s
27g.jpg,311.91,s
27h.jpg,324.99,b
27i.jpg,367.46,t
28a.jpg,262.41,s
28b.jpg,277.92,s
28c.jpg,286.48,s
28d.jpg,278.27,s
28e.jpg,272.58,s
28f.jpg,270.61,s
28g.jpg,252.17,s
28h.jpg,254.61,b
28i.jpg,279.13,t
29a.jpg,267.2,s
29b.jpg,255.44,s
29c.jpg,271.52,s
29d.jpg,253.18,s
29e.jpg,274.05,s
29f.jpg,275.96,s
29g.jpg,272.28,s
29h.jpg,264.29,s
29i.jpg,237.71,b
29j.jpg,263.19,t
30a.jpg,261.59,b
30b.jpg,262.38,t
30c.jpg,333.39,s
30d.jpg,317.94,s
30e.jpg,319.21,s
30f.jpg,321.47,s
30g.jpg,336.34,s
30h.jpg,336.6,s
30i.jpg,324.29,s
30j.jpg,263.02,t
30k.jpg,239.1,b
31a.jpg,316.66,t
31b.jpg,287.35,b
31c.jpg,302.15,s
31d.jpg,305.34,s
31e.jpg,297.77,s
31f.jpg,298.23,s
31g.jpg,299.67,s
31h.jpg,288.1,s
31i.jpg,283.12,s
31j.jpg,314.41,t
31k.jpg,320.04,t
31l.jpg,290.55,b
32a.jpg,347.7,b
32b.jpg,362.63,t
32c.jpg,350.48,s
32d.jpg,363.63,s
32e.jpg,353.49,s
32f.jpg,346.06,s
32g.jpg,359.07,s
32h.jpg,355.1,s
32i.jpg,374.35,s
32j.jpg,343.59,b
32k.jpg,369.53,t
33a.jpg,327.85,s
33b.jpg,354.44,s
33c.jpg,333.54,s
33d.jpg,354.88,s
33e.jpg,351.64,s
33f.jpg,350.08,s
33g.jpg,359.45,t
33h.jpg,341.98,b
33i.jpg,341.79,b
34a.jpg,259.38,s
34b.jpg,250.7,s
34c.jpg,248.92,s
34d.jpg,246.93,s
34e.jpg,257.36,s
34f.jpg,263.03,s
34g.jpg,223.43,b
34h.jpg,246.96,t
35a.jpg,320.77,s
35b.jpg,337.98,s
35c.jpg,340.49,s
35d.jpg,347.1,s
35e.jpg,308.55,s
35f.jpg,309.5,s
35g.jpg,295.51,t
35h.jpg,268.78,b
36a.jpg,236.23,s
36b.jpg,235.45,s
36c.jpg,229.57,s
36d.jpg,219.13,s
36e.jpg,207.92,s
36f.jpg,230.52,s
36g.jpg,187.47,b
36h.jpg,209.06,t
37a.jpg,196.47,s
37b.jpg,195.85,s
37c.jpg,204.04,s
37d.jpg,197.83,s
37e.jpg,204.76,s
37f.jpg,208.78,s
