true_volume,scaled_predicted_volume,absolute_error,percentage_error
80.0,86.74,6.74,8.43
130.0,116.47,13.53,10.41
200.0,171.35,28.65,14.32
250.0,174.77,75.23,30.09
240.0,256.45,16.45,6.85
230.0,228.59,1.41,0.61
130.0,133.77,3.77,2.9
170.0,192.34,22.34,13.14
160.0,188.41,28.41,17.76
230.0,245.14,15.14,6.58
100.0,127.75,27.75,27.75
140.0,159.29,19.29,13.78
80.0,119.4,39.4,49.25
210.0,246.45,36.45,17.36
180.0,156.81,23.19,12.88
140.0,184.96,44.96,32.12
120.0,147.35,27.35,22.79
170.0,162.16,7.84,4.61
120.0,134.88,14.88,12.4
160.0,190.52,30.52,19.07
120.0,119.78,0.22,0.18
160.0,165.23,5.23,3.27
150.0,146.21,3.79,2.53
110.0,167.55,57.55,52.32
110.0,117.94,7.94,7.22
220.0,201.58,18.42,8.37
130.0,164.15,34.15,26.27
150.0,160.4,10.4,6.94
180.0,180.77,0.77,0.43
200.0,180.17,19.83,9.91
240.0,210.58,29.42,12.26
225.0,204.83,20.17,8.96
180.0,152.94,27.06,15.03
200.0,188.67,11.33,5.67
150.0,136.73,13.27,8.84
150.0,126.37,23.63,15.75
180.0,159.77,20.23,11.24
155.0,133.86,21.14,13.64
240.0,225.34,14.66,6.11
150.0,151.81,1.81,1.21
350.0,286.19,63.81,18.23
150.0,144.56,5.44,3.63
210.0,167.88,42.12,20.06
200.0,176.53,23.47,11.74
225.0,200.65,24.35,10.82
235.0,203.37,31.63,13.46
170.0,141.65,28.35,16.67
200.0,168.79,31.21,15.6
175.0,148.76,26.24,15.0
150.0,154.61,4.61,3.07
150.0,151.27,1.27,0.85
160.0,151.85,8.15,5.1
200.0,149.86,50.14,25.07
180.0,163.91,16.09,8.94
140.0,122.41,17.59,12.56
150.0,140.63,9.37,6.24
150.0,140.54,9.46,6.31
120.0,95.94,24.06,20.05
140.0,123.45,16.55,11.82
140.0,125.67,14.33,10.24
160.0,146.38,13.62,8.51
130.0,110.29,19.71,15.16
80.0,82.0,2.0,2.5
80.0,77.88,2.12,2.65
60.0,68.57,8.57,14.29
80.0,80.67,0.67,0.83
80.0,70.26,9.74,12.17
210.0,187.12,22.88,10.9
165.0,144.28,20.72,12.56
120.0,111.39,8.61,7.17
110.0,139.11,29.11,26.47
130.0,115.43,14.57,11.21
100.0,93.81,6.19,6.19
140.0,125.72,14.28,10.2
200.0,186.71,13.29,6.64
190.0,169.55,20.45,10.76
180.0,160.71,19.29,10.72
200.0,179.56,20.44,10.22
200.0,195.13,4.87,2.43
150.0,131.63,18.37,12.24
145.0,139.41,5.59,3.86
130.0,148.15,18.15,13.96
170.0,160.09,9.91,5.83
125.0,114.85,10.15,8.12
90.0,96.61,6.61,7.35
160.0,150.88,9.12,5.7
155.0,155.19,0.19,0.12
180.0,172.28,7.72,4.29
140.0,125.06,14.94,10.67
175.0,175.9,0.9,0.52
125.0,133.35,8.35,6.68
190.0,180.34,9.66,5.09
160.0,164.61,4.61,2.88
125.0,131.44,6.44,5.15
130.0,132.57,2.57,1.98
100.0,101.43,1.43,1.43
175.0,172.44,2.56,1.46
150.0,138.41,11.59,7.72
